Qname,Qstart,Qend,length
13957a23-fd53-45ef-9a6e-11300ee3228f,1023,2381,1359
25276ca2-a70d-40b0-9da0-128f85b9c8c1,3347,4600,1254
9fd965d4-7a0c-4050-a3b7-795d510f82b1,469,1637,1169
2250fde4-799c-4578-a17a-2c83dd6ca262,269,1328,1060
93f9bc4b-975a-41e4-badd-87e449837688,260,1268,1009
8f1a5443-f775-4d88-8200-9010dc114d14,864,1849,986
bc07afb1-401e-4073-92d5-9291a724fd86,381,1200,820
54ad86da-8e62-43a1-b77e-142b88c48fa9,83,748,666
9c532c4a-e18e-4e00-a592-a43b24bc6e2f,644,1277,634
3c507cf9-9e2b-44b6-8af0-3b81e15d84af,750,1368,619
f0f9af54-6e47-4433-8974-20b412930c0e,456,998,543
afbe97ca-f9ae-43fa-b521-4b9abe06c6b2,1915,2430,516
038c3a5e-50c4-4dbf-b5d3-0c947e342c49,863,1377,515
861f7fad-6417-497c-89f2-f87eeaa4d849,441,884,444
1643a520-0430-4c57-9fc4-937841d9680b,362,762,401
d1633a7e-c3a0-4c4e-bd83-944b256a4514,266,557,292
4f6ea88b-aa8c-4453-9069-5531a38f6feb,2369,2572,204
9b2ea4bf-be71-4d3c-a044-d8e9edb572d7,522,710,189
33af338e-9fa3-46de-8b33-c01343dc7354,971,1158,188
9c5764fc-00a4-4728-bc34-b5112af0c8c4,671,853,183
f7a18c61-d636-4784-a554-1176bcba3003,1104,1285,182
3d564773-40d6-4781-bc15-28e1682cf8dd,418,587,170
214b4677-45f1-4703-8ca9-14618a352781,283,425,143
30678245-5540-4cb9-a7f9-4fe3255fe596,523,659,137
dd922dfb-1302-4471-a238-1363c5bfef38,1862,1970,109
7ac104a6-46c9-4479-9f9b-48f6fff3866c,1033,1125,93
aef3fae4-fb04-47ad-b63e-917b3ce9cd21,535,627,93
f2977f7b-4765-4609-aa29-ac24996550f6,582,667,86
c95744d6-5bf8-4bc8-a944-985408857b90,1129,1208,80
f9eaf781-a654-444c-836c-4a6765e6f43f,1746,1804,59
e7fae1d0-df9d-4e34-817f-ee31e1b5d392,2468,2525,58
53af06cd-de4f-4aaa-aad6-5d8b22c6a9bf,294,337,44
383dc9a4-e6d0-4af2-8fa3-53c9974b2336,709,752,44
389c5430-6c13-47b0-bb17-5e81255bcc06,1126,1167,42
e9e5ca78-4f8b-4a2a-9bdb-24c71b60018c,1044,1082,39
0f30ab0b-9afa-4029-b368-057cd6f8c347,1454,1482,29
ec918828-af2b-4c01-8e89-16982a8b70ae,1060,1084,25
f74e7155-1605-4fbe-9a24-c315a65ac12f,3571,3592,22
866a472b-7afa-4e32-800c-f30e3e4ef8b3,991,1009,19
